suite_id,baseline_name,model_name,seed,track,topology,task_id,pass_fail,score_total,partial_score,sim_calls,unsupported_value,invalid_bom,failure_tags,candidate_path,result_path,disable_formula_guardrails,disable_component_grounding,disable_correction_memory,evidence_level
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,boundary_acdc_15v1a_tight_margin,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/boundary_acdc_15v1a_tight_margin.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/boundary_acdc_15v1a_tight_margin.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,boundary_acdc_24v1a_high_eff,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/boundary_acdc_24v1a_high_eff.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/boundary_acdc_24v1a_high_eff.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,boundary_dcdc_12v3a_narrow_duty,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_12v3a_narrow_duty.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_12v3a_narrow_duty.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,boundary_dcdc_28v0p9a_low_stress,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/boundary_dcdc_28v0p9a_low_stress.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/boundary_dcdc_28v0p9a_low_stress.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_acdc_12v1a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_acdc_12v1a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_acdc_12v1a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_acdc_18v0p6a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_acdc_18v0p6a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_acdc_18v0p6a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_acdc_5v1a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_acdc_5v1a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_acdc_5v1a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_acdc_9v0p7a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_acdc_9v0p7a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_acdc_9v0p7a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_dcdc_12v0p5a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_dcdc_12v0p5a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_dcdc_12v0p5a.json,False,False,False,paper_main_raw_api_evidence
direct_prompting__o4-mini__seed1__flyback__30tasks,direct_prompting,o4-mini,1,flyback,flyback,easy_dcdc_15v0p8a,False,0.0,0.0,0.0,False,False,Spec Parsing Failure,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/candidates/easy_dcdc_15v0p8a.json,raw_records/flyback/suites/direct_prompting__o4-mini__seed1__flyback__30tasks/task_results/easy_dcdc_15v0p8a.json,False,False,False,paper_main_raw_api_evidence
